world,humans,sample,coordinator,wall_time,success,all_arrived,robot_collision,robots_arrived,makespan,sum_of_costs,min_robot_robot_dist,min_human_robot_dist,time_near_humans,human_encounters,stuck_time,deadlock_time,replans,solver_calls,episode_time,stat_solver_time,stat_local_repairs,stat_coupled_repairs,stat_global_replans,stat_repair_failures,stat_rejected_repairs,stat_kept_plans,stat_blocked_triggers,stat_risk_triggers,stat_step_duration,stat_solver_failures
depot,5,2,adg_cbs,0.6408319473266602,1.0,1.0,0.0,5.0,93.2,372.40000000000003,1.16,0.4079460748677452,6.20000000000001,2.0,13.0,0.0,2.0,3.0,94.4,0.0005024,2,0,0,0,0,0,2,0,2.406785317563833,
depot,5,2,ha_cbs,1.2933552265167236,1.0,1.0,0.0,5.0,92.2,370.6,1.1600000000000001,0.6846152203975603,3.799999999999997,0.0,11.0,0.0,1.0,2.0,93.2,0.0059771,1,0,0,0,0,0,1,0,2.3906638857661804,
depot,5,2,ha_cbs_mod,9.235766887664795,1.0,1.0,0.0,5.0,92.2,382.20000000000005,1.1600000000000001,0.391841804814137,4.799999999999997,1.0,13.0,0.0,2.0,7.0,93.2,0.0113188,2,0,0,0,0,2,1,3,2.526169813991847,
depot,5,2,ha_cbs_norepair,0.6006498336791992,1.0,1.0,0.0,5.0,92.2,370.6,1.1600000000000001,0.6846152203975603,3.799999999999997,0.0,11.0,0.0,0.0,1.0,93.2,0.005358,0,0,0,0,0,0,0,0,2.3906639700160133,
depot,5,2,mapf,3.641303777694702,1.0,1.0,0.0,5.0,92.0,383.6,1.16,0.2751181564346487,8.2,2.0,9.200000000000006,0.0,169.0,170.0,93.0,0.020119500000000012,,,,,,,,,,0
depot,5,2,pbc,4.175320148468018,1.0,1.0,0.0,5.0,94.6,381.4,1.0320256779751171,0.4932220595228885,5.199999999999996,1.0,11.2,0.0,0.0,0.0,95.8,,,,,,,,,,,
depot,5,3,adg_cbs,0.7043895721435547,1.0,1.0,0.0,5.0,96.2,404.0,1.16,0.17395401691251616,18.000000000000014,6.0,14.200000000000008,0.0,1.0,2.0,97.4,0.00046120000000000004,1,0,0,0,0,0,1,0,2.855319152932275,
depot,5,3,ha_cbs,1.1241867542266846,1.0,1.0,0.0,5.0,100.2,407.6,1.1600000000000001,0.09126883367283725,20.400000000000006,7.0,14.399999999999997,0.0,1.0,2.0,101.4,0.004522,1,0,0,0,0,0,1,0,2.9092666352757597,
depot,5,3,ha_cbs_mod,10.006699085235596,1.0,1.0,0.0,5.0,100.2,407.6,1.1600000000000001,0.09126883367283725,20.400000000000006,7.0,14.399999999999997,0.0,1.0,10.0,101.4,0.0055534,1,0,0,0,0,4,1,4,2.9092666352757597,
depot,5,3,ha_cbs_norepair,0.7913210391998291,1.0,1.0,0.0,5.0,100.2,407.6,1.1600000000000001,0.09126883367283725,20.400000000000006,7.0,14.399999999999997,0.0,0.0,1.0,101.4,0.0029765,0,0,0,0,0,0,0,0,2.913989001758629,
depot,5,3,mapf,3.5799498558044434,1.0,1.0,0.0,5.0,94.6,389.20000000000005,1.16,0.1120580206857144,15.800000000000008,6.0,15.0,0.0,174.0,175.0,95.8,0.020583999999999988,,,,,,,,,,0
depot,5,3,pbc,4.15413761138916,1.0,1.0,0.0,5.0,93.2,383.2,1.1546852384957553,0.12332072007574396,15.00000000000001,6.0,11.399999999999997,0.0,0.0,0.0,94.2,,,,,,,,,,,
depot,5,4,adg_cbs,0.636253833770752,1.0,1.0,0.0,5.0,95.0,380.79999999999995,1.16,0.2280372776543343,13.200000000000003,3.0,7.399999999999995,0.0,0.0,1.0,96.0,0.0004013,0,0,0,0,0,0,0,0,2.6799391209847694,
depot,5,4,ha_cbs,1.1009941101074219,1.0,1.0,0.0,5.0,100.8,384.20000000000005,1.1600000000000001,0.05594640292279761,8.999999999999996,3.0,7.399999999999995,0.0,0.0,1.0,101.8,0.0055162,0,0,0,0,0,0,0,0,2.9195980085182525,
depot,5,4,ha_cbs_mod,9.39948320388794,1.0,1.0,0.0,5.0,95.4,389.00000000000006,1.1600000000000001,0.22541739063346491,7.599999999999999,3.0,7.399999999999995,0.0,2.0,9.0,96.6,0.009971899999999999,1,1,0,0,0,2,0,4,2.6409985399251457,
depot,5,4,ha_cbs_norepair,0.711158275604248,1.0,1.0,0.0,5.0,100.8,384.20000000000005,1.1600000000000001,0.05594640292279761,8.999999999999996,3.0,7.399999999999995,0.0,0.0,1.0,101.8,0.0065278,0,0,0,0,0,0,0,0,2.9195980085182525,
depot,5,4,mapf,3.4722814559936523,1.0,1.0,0.0,5.0,90.6,374.4,1.16,0.07632168761236849,9.399999999999999,4.0,7.800000000000001,0.0,166.0,167.0,91.8,0.023999200000000012,,,,,,,,,,0
depot,5,4,pbc,3.979071855545044,1.0,1.0,0.0,5.0,91.0,378.0,1.16,0.09042676594902618,7.200000000000003,2.0,7.800000000000008,0.0,0.0,0.0,92.2,,,,,,,,,,,
depot,10,0,adg_cbs,0.7938680648803711,1.0,1.0,0.0,5.0,105.6,401.4,1.16,0.08421401308570972,29.0,9.0,14.199999999999996,0.0,0.0,1.0,106.8,0.00044,0,0,0,0,0,0,0,0,2.9094954515540916,
depot,10,0,ha_cbs,1.581787347793579,1.0,1.0,0.0,5.0,99.8,415.59999999999997,1.1600000000000001,0.06894200461257266,15.000000000000004,5.0,10.999999999999996,0.0,1.0,2.0,100.8,0.0186373,1,0,0,0,0,0,1,0,2.6536501847953233,
depot,10,0,ha_cbs_mod,14.134015560150146,1.0,1.0,0.0,5.0,100.8,419.20000000000005,1.1480108884501057,0.023259406699226833,33.39999999999999,13.0,13.199999999999992,0.0,2.0,8.0,102.0,0.0479026,1,1,0,0,0,2,0,4,3.2860786616925584,
depot,10,0,ha_cbs_norepair,0.9207789897918701,1.0,1.0,0.0,5.0,99.8,415.59999999999997,1.1600000000000001,0.06894200461257266,15.000000000000004,5.0,10.999999999999996,0.0,0.0,1.0,100.8,0.0233889,0,0,0,0,0,0,0,0,2.653670255466002,
depot,10,0,mapf,3.960303544998169,1.0,1.0,0.0,5.0,101.8,401.2,1.16,0.01063014581273444,32.00000000000002,11.0,9.799999999999997,0.0,186.0,187.0,102.8,0.02731039999999999,,,,,,,,,,0
depot,10,0,pbc,4.598144292831421,1.0,1.0,0.0,5.0,92.0,410.79999999999995,1.1180004472271012,0.07605918747922574,48.0,19.0,12.599999999999994,0.0,0.0,0.0,93.0,,,,,,,,,,,
depot,10,1,adg_cbs,0.9279325008392334,1.0,1.0,0.0,5.0,96.6,401.0,1.16,0.07582216034906937,22.199999999999992,9.0,5.200000000000003,0.0,1.0,2.0,97.8,0.0003285,1,0,0,0,0,0,1,0,3.073578765140002,
depot,10,1,ha_cbs,1.890775442123413,1.0,1.0,0.0,5.0,102.4,414.6,1.0605493859316502,0.029832867780352438,16.199999999999978,6.0,27.599999999999994,0.0,2.0,3.0,103.6,0.0484597,2,0,0,0,0,0,2,0,2.881502162341391,
depot,10,1,ha_cbs_mod,14.442971467971802,1.0,1.0,0.0,5.0,102.4,408.80000000000007,1.0605493859316502,0.127283148923964,23.799999999999972,8.0,15.200000000000003,0.0,1.0,10.0,103.6,0.0608723,1,0,0,0,0,4,1,4,2.9690995604736674,
depot,10,1,ha_cbs_norepair,1.0771360397338867,1.0,1.0,0.0,5.0,102.4,414.6,1.0605493859316502,0.029832867780352438,16.199999999999978,6.0,27.599999999999994,0.0,0.0,1.0,103.6,0.046574,0,0,0,0,0,0,0,0,2.881502162341391,
depot,10,1,mapf,3.8324339389801025,1.0,1.0,0.0,5.0,94.6,386.6,1.16,0.08500000000000002,30.0,10.0,7.200000000000003,0.0,174.0,175.0,96.0,0.0235726,,,,,,,,,,0
depot,10,1,pbc,4.4940338134765625,1.0,1.0,0.0,5.0,93.8,396.59999999999997,1.16,0.07947955712005429,35.39999999999998,17.0,6.79999999999999,0.0,0.0,0.0,95.0,,,,,,,,,,,
depot,10,2,adg_cbs,0.8469369411468506,1.0,1.0,0.0,5.0,110.0,411.6,1.16,0.025999999999999912,30.199999999999996,11.0,13.2,0.0,5.0,6.0,111.2,0.0005475,5,0,0,0,0,0,5,0,2.635611447344538,
depot,10,2,ha_cbs,1.7960560321807861,1.0,1.0,0.0,5.0,109.4,449.00000000000006,1.0536531687419728,0.06174139616173258,25.39999999999999,7.0,25.0,0.0,3.0,4.0,110.6,0.0504632,3,0,0,0,0,0,3,0,2.861375637303556,
depot,10,2,ha_cbs_mod,14.750930547714233,1.0,1.0,0.0,5.0,109.4,449.00000000000006,1.0536531687419728,0.06174139616173258,25.39999999999999,7.0,25.0,0.0,3.0,10.0,110.6,0.0686381,3,0,0,0,0,3,3,3,2.861375637303556,
depot,10,2,ha_cbs_norepair,0.9690139293670654,1.0,1.0,0.0,5.0,109.4,449.00000000000006,1.0536531687419728,0.06174139616173258,25.39999999999999,7.0,25.0,0.0,0.0,1.0,110.6,0.0457437,0,0,0,0,0,0,0,0,2.861376093423396,
depot,10,2,mapf,3.97273588180542,1.0,1.0,0.0,5.0,101.6,424.40000000000003,1.16,0.049658836071740445,35.2,11.0,11.600000000000009,0.0,186.0,187.0,102.8,0.023565099999999985,,,,,,,,,,0
depot,10,2,pbc,4.7315833568573,1.0,1.0,0.0,5.0,95.2,427.2,1.0320256779751171,0.11715374513859968,36.6,12.0,16.200000000000003,0.0,0.0,0.0,96.4,,,,,,,,,,,
depot,10,3,adg_cbs,0.9773187637329102,1.0,1.0,0.0,5.0,104.0,406.80000000000007,1.16,0.06000833275471005,29.599999999999994,10.0,20.80000000000001,0.0,2.0,3.0,105.2,0.0003883,2,0,0,0,0,0,2,0,2.7606138746387408,
depot,10,3,ha_cbs,1.865703821182251,1.0,1.0,0.0,5.0,108.0,438.79999999999995,1.0616449500656988,0.10113851887386832,27.799999999999997,5.0,43.60000000000001,0.0,5.0,6.0,109.0,0.0427677,5,0,0,0,0,0,5,0,2.6231135589185466,
depot,10,3,ha_cbs_mod,13.856966495513916,1.0,1.0,0.0,5.0,101.4,432.20000000000005,1.110259429142577,0.08009993757800321,23.999999999999993,8.0,34.2,0.0,4.0,9.0,102.4,0.04083119999999999,4,0,0,0,0,2,4,2,2.614942018357803,
depot,10,3,ha_cbs_norepair,1.1005537509918213,1.0,1.0,0.0,5.0,108.0,438.79999999999995,1.0616449500656988,0.10113851887386832,27.799999999999997,5.0,43.60000000000001,0.0,0.0,1.0,109.0,0.0437549,0,0,0,0,0,0,0,0,2.6261362526971137,
depot,10,3,mapf,3.948718786239624,1.0,1.0,0.0,5.0,101.4,396.8,1.16,0.09019977827023733,17.400000000000006,5.0,15.200000000000003,0.0,186.0,187.0,102.6,0.022428499999999976,,,,,,,,,,0
depot,10,3,pbc,4.7157816886901855,1.0,1.0,0.0,5.0,101.8,391.79999999999995,1.1546852384957553,0.041436698710201725,16.199999999999985,5.0,11.799999999999995,0.0,0.0,0.0,102.8,,,,,,,,,,,
depot,10,4,adg_cbs,1.0073118209838867,1.0,1.0,0.0,5.0,101.4,407.20000000000005,1.16,0.04876474136094643,29.799999999999976,9.0,7.399999999999995,0.0,4.0,5.0,102.6,0.0004889,4,0,0,0,0,0,4,0,2.8362951185449683,
depot,10,4,ha_cbs,1.9429643154144287,1.0,1.0,0.0,5.0,104.6,428.4,1.1600000000000001,0.06551335741663672,32.8,10.0,27.8,0.0,3.0,6.0,108.8,0.089584,3,0,0,0,0,1,3,1,2.9287207724286737,
depot,10,4,ha_cbs_mod,13.619014978408813,1.0,1.0,0.0,5.0,101.4,440.40000000000003,1.0231324449942925,0.18246369501903664,26.599999999999987,10.0,19.599999999999998,0.0,4.0,12.0,102.6,0.05378360000000001,3,1,0,0,0,3,2,5,2.838395665147515,
