world,humans,sample,w,status,runtime_s,objective,hl_expanded
depot,20,2,1.0,timeout,10.078745,,18452
depot,20,2,1.05,timeout,10.0976803,,17423
depot,20,2,1.1,success,0.0204555,190.574,38
depot,20,2,1.2,success,0.0218749,190.574,38
depot,20,2,1.5,success,0.0202184,190.574,38
depot,20,3,1.0,timeout,10.0881864,,20291
depot,20,3,1.05,timeout,10.1082639,,18431
depot,20,3,1.1,success,0.0178061,191.656,30
depot,20,3,1.2,success,0.0175681,191.656,30
depot,20,3,1.5,success,0.0177371,191.656,30
depot,20,4,1.0,timeout,10.1010527,,20253
depot,20,4,1.05,timeout,10.1241321,,19138
depot,20,4,1.1,success,0.0185767,191.85,35
depot,20,4,1.2,success,0.0188945,191.85,35
depot,20,4,1.5,success,0.0194313,191.85,35
